Variable,Impacto_SHAP_promedio
num__lag_2,0.4750207443545721
num__lag_3,0.4114665865736809
num__min_4,0.3108204246089331
num__tendencia_2,0.26640517976913575
num__precio_unitario,0.2512956030040988
num__promedio_4,0.20606018631250658
cat__producto_ENTEROCHRONIC,0.19627304037931578
cat__producto_RABISIN,0.15601500942916405
cat__producto_PREVICOX 227MG TABLETA,0.1514495720213648
num__semana,0.12813063529031413
num__std_4,0.1019351575843717
num__max_4,0.09846837285027794
cat__producto_VACUNA C6/CV,0.08947748842378948
cat__producto_BRONCHICINE,0.08543395828521325
num__lag_4,0.07945715165963985
cat__producto_TRITON LEVOTIROXINA 0.8MG,0.06816877661841403
num__lag_1,0.054626367658533764
cat__categoria_VACUNAS,0.03998703107392937
cat__categoria_FARMACIA,0.02926290328357712
cat__producto_MELOXICAM 1.5MG 10ML,0.024901736989340003
num__anio,0.013290887548723184
cat__producto_FELOCELL FELV LEUCEMIA,0.012885659363790481
cat__producto_SYNOQUIN RAZA PEQUEÑA 10KG,0.009954887573117818
cat__producto_GALGOCAL 600mg,0.005471552955068838
cat__producto_DAPPVL2,0.0037255408010114788
cat__producto_FELOCELL 3,0.003018109330299332
cat__categoria_DESPARASITANTES INTERNOS Y EXTERNOS,0.0016760555203387036
cat__producto_SPONGE CLEAN,0.001114739577078018
cat__producto_GALGOCAL 200 mg,0.0007970095365944801
cat__producto_KC INTRANASAL,0.0007647385255592959
cat__producto_PROTEGGO 1M 4.5 - 10KG MORADO,0.0002739643394641533
